ID_PROVA_BRASIL,ID_UF,ID_MUNICIPIO,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_SERIE,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,TX_RESP_Q052,TX_RESP_Q053,TX_RESP_Q054,TX_RESP_Q055,TX_RESP_Q056,TX_RESP_Q057,TX_RESP_Q058,TX_RESP_Q059,TX_RESP_Q060,TX_RESP_Q061,TX_RESP_Q062,TX_RESP_Q063,TX_RESP_Q064,TX_RESP_Q065,TX_RESP_Q066,TX_RESP_Q067,TX_RESP_Q068,TX_RESP_Q069,TX_RESP_Q070,TX_RESP_Q071,TX_RESP_Q072,TX_RESP_Q073,TX_RESP_Q074,TX_RESP_Q075,TX_RESP_Q076,TX_RESP_Q077,TX_RESP_Q078,TX_RESP_Q079,TX_RESP_Q080,TX_RESP_Q081,TX_RESP_Q082,TX_RESP_Q083,TX_RESP_Q084,TX_RESP_Q085,TX_RESP_Q086,TX_RESP_Q087,TX_RESP_Q088,TX_RESP_Q089,TX_RESP_Q090,TX_RESP_Q091,TX_RESP_Q092,TX_RESP_Q093,TX_RESP_Q094,TX_RESP_Q095,TX_RESP_Q096,TX_RESP_Q097,TX_RESP_Q098,TX_RESP_Q099,TX_RESP_Q100,TX_RESP_Q101,TX_RESP_Q102,TX_RESP_Q103,TX_RESP_Q104,TX_RESP_Q105,TX_RESP_Q106,TX_RESP_Q107,TX_RESP_Q108,TX_RESP_Q109,TX_RESP_Q110,TX_RESP_Q111,TX_RESP_Q112,TX_RESP_Q113,TX_RESP_Q114,TX_RESP_Q115,TX_RESP_Q116,TX_RESP_Q117,TX_RESP_Q118,TX_RESP_Q119,TX_RESP_Q120,TX_RESP_Q121,TX_RESP_Q122,TX_RESP_Q123,TX_RESP_Q124,TX_RESP_Q125
2015,27,2704302,27036065,3,1,603818,5,1,B,D,B,D,C,B,B,C,B,F,B,G,C,C,B,A,C,A,C,C,D,B,B,B,A,B,A,B,A,C,D,D,A,B,C,C,B,B,C,C,A,A,A,C,C,B,D,D,B,C,H,E,D,E,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,A,B,B,A,A,B,A,A,A,B,A,A,A,B,B,B,B,B,B,B,B,B,B,D,D,C,B,B,A,E,A,D,A,C,D,C,D,F,F,E,D,F,F,F,B,D,F,E,E,F,E,E,E,E,E,E
2015,27,2704302,27036065,3,1,603819,5,1,B,E,C,D,D,C,B,C,B,F,A,G,G,A,C,A,C,B,A,D,E,D,E,E,B,A,C,A,A,A,D,D,B,C,C,C,B,C,C,C,B,A,A,D,D,C,C,D,C,D,H,E,D,E,E,C,D,C,D,C,C,C,D,C,C,D,D,D,D,B,B,B,A,A,B,A,A,A,A,B,A,B,B,B,B,B,B,B,B,B,B,B,D,D,D,C,B,C,E,A,E,A,B,D,C,D,E,F,E,C,E,F,F,E,E,F,E,E,F,F,F,F,E,E,E
2015,27,2704302,27226301,3,1,605155,5,1,B,D,C,B,E,C,B,A,A,G,A,C,G,B,B,A,C,B,A,C,C,A,A,A,A,C,C,C,C,C,D,D,B,B,C,C,B,C,B,C,A,B,B,C,D,C,C,D,B,B,D,C,B,C,C,A,B,B,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,A,A,A,A,A,A,B,B,A,B,B,B,B,B,B,B,B,D,C,C,B,B,B,E,A,B,A,C,E,C,D,E,E,E,D,E,F,E,D,E,E,E,E,E,E,E,F,E,D,E
2015,27,2704302,27226301,3,1,605156,5,1,A,D,C,B,D,B,C,C,E,F,A,G,F,D,B,A,C,A,C,C,E,E,E,E,B,C,B,B,B,B,C,C,B,C,C,C,B,B,C,C,B,B,B,C,D,D,C,C,C,C,D,C,C,D,B,D,B,B,B,C,B,C,B,B,B,C,B,C,B,A,B,B,B,B,B,A,A,A,A,A,B,A,B,B,B,B,B,B,B,B,B,B,D,D,D,D,A,B,D,A,A,A,B,E,C,D,E,E,F,B,F,F,E,D,D,E,E,D,E,E,E,E,E,E,E
2015,27,2704302,27226301,3,1,605155,5,1,B,D,C,B,E,C,B,A,A,G,A,C,G,B,B,A,C,B,A,C,C,A,A,A,A,C,C,C,C,C,D,D,B,B,C,C,B,C,B,C,A,B,B,C,D,C,C,D,B,B,D,C,B,C,C,A,B,B,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,A,A,A,A,A,A,B,B,A,B,B,B,B,B,B,B,B,D,C,C,B,B,B,E,A,B,A,C,E,C,D,E,E,E,D,E,F,E,D,E,E,E,E,E,E,E,F,E,D,E
2015,27,2704302,27226301,3,1,605156,5,1,A,D,C,B,D,B,C,C,E,F,A,G,F,D,B,A,C,A,C,C,E,E,E,E,B,C,B,B,B,B,C,C,B,C,C,C,B,B,C,C,B,B,B,C,D,D,C,C,C,C,D,C,C,D,B,D,B,B,B,C,B,C,B,B,B,C,B,C,B,A,B,B,B,B,B,A,A,A,A,A,B,A,B,B,B,B,B,B,B,B,B,B,D,D,D,D,A,B,D,A,A,A,B,E,C,D,E,E,F,B,F,F,E,D,D,E,E,D,E,E,E,E,E,E,E
2015,27,2704302,27230074,3,1,605231,5,1,B,C,B,D,C,B,C,C,E,E,C,E,E,D,C,A,C,A,B,C,D,D,D,D,B,C,C,C,C,C,C,D,B,B,C,C,B,C,C,C,B,C,B,C,D,D,D,D,C,C,F,B,C,C,A,D,C,B,B,B,B,C,C,A,B,C,B,B,C,A,A,B,A,A,B,A,A,A,B,A,A,A,B,A,B,B,B,B,B,B,B,B,D,D,D,C,A,A,E,A,D,A,B,E,C,D,F,F,E,D,E,F,F,E,E,E,E,D,D,E,E,F,E,E,E
2015,27,2704302,27230074,3,1,605232,5,1,B,C,B,D,B,B,C,C,E,E,C,E,E,D,C,C,C,A,B,A,D,D,D,D,A,C,C,C,C,C,C,D,B,C,C,C,B,C,C,C,B,C,B,C,D,D,D,D,C,C,A,A,C,D,A,D,C,B,C,B,B,C,C,B,B,D,B,D,C,A,A,B,A,A,B,A,A,A,B,A,B,B,A,A,B,B,B,B,B,B,B,B,D,D,D,C,A,A,E,A,D,A,B,E,C,D,F,F,E,C,E,F,F,E,E,F,E,E,E,E,F,F,E,F,F
2015,27,2704302,27216977,3,1,604697,9,1,B,D,A,G,D,C,B,A,A,D,C,D,E,D,D,A,C,C,A,C,E,E,A,A,C,C,C,C,C,C,D,C,B,B,C,C,B,B,C,B,A,B,B,C,C,B,C,C,B,C,F,B,B,C,A,C,B,B,C,C,C,C,D,D,C,D,D,C,C,A,B,B,A,B,A,B,A,A,B,A,A,B,B,A,B,B,B,B,B,A,B,B,,D,D,C,A,A,E,A,D,B,A,E,A,D,C,C,D,D,A,D,D,C,D,E,E,D,D,,,,,,
2015,27,2704302,27216977,3,1,604694,5,1,B,E,B,D,E,C,B,C,E,J,C,J,G,E,G,A,C,A,C,D,D,D,D,D,B,C,C,C,B,D,D,D,B,C,C,C,C,C,C,C,C,B,B,C,D,C,C,D,A,D,F,D,B,E,E,D,B,B,B,D,B,C,C,C,C,C,C,D,A,B,B,B,A,A,A,A,A,A,A,A,B,A,B,A,B,B,B,B,B,B,B,B,D,D,C,C,A,A,E,A,D,A,B,D,C,C,F,F,E,D,F,F,F,D,E,F,E,E,E,F,E,E,D,E,E
