ID_PROVA_BRASIL,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_PROVA,ID_CADERNO,ID_BLOCO_1,ID_BLOCO_2,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROFICIENCIA,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_LP,PROFICIENCIA_LP,DESVIO_PADRAO_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,TX_RESP_Q052,TX_RESP_Q053,TX_RESP_Q054,TX_RESP_Q055,TX_RESP_Q056,TX_RESP_Q057,'RESULTADO IDEB',CONDICAO
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847683,1,1,17,3,6,ACBCADDDBDACA,DCBCDCBBADAAB,CACCDCCCDDDCA,AADCBCCACCCBB,1,1,270915232,1.031.250.000.000.000,-0.817300000000000,0.410068,204.957.185.000.000.000,22.592.025.000.000.000,1,A,D,F,D,D,B,C,B,A,A,B,A,A,B,B,F,A,A,A,B,B,B,G,B,B,C,B,B,B,B,B,B,B,B,B,B,A,B,C,C,C,A,D,A,A,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847684,1,1,1,1,2,BBBDBDCACDBCC,BDDCBACDBCBBA,DCABABDCCADCB,CDCBBDDBDBCAD,1,1,270915232,1.031.250.000.000.000,-1.286.529.000.000.000,0.424368,179.105.781.000.000.000,23.379.860.000.000.000,1,B,?,I,E,B,B,B,B,B,B,A,A,A,A,C,F,A,A,G,A,A,A,G,B,B,B,A,B,A,B,A,B,A,A,A,B,C,C,B,C,C,A,E,E,A,B,C,B,B,A,B,B,A,B,B,B,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847685,1,1,7,7,1,ABBCCBDDABADA,BCBACBBCDADDD,CBBADBCDBBDCC,ACBBCBADBCACB,1,1,270915232,1.031.250.000.000.000,0.321670000000000,0.35402,267.706.872.000.000.000,19.504.152.000.000.000,1,B,B,H,C,A,C,D,B,B,A,B,A,A,B,D,E,A,A,C,A,A,A,C,A,A,A,A,A,A,A,A,?,B,?,?,?,?,A,B,B,C,C,C,A,B,B,A,?,A,A,B,A,A,A,A,C,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847686,1,1,21,7,3,CBDDACDDABCAA,DADBAADAABCDA,DAACACCACDDBC,CDADACACDCDAA,1,1,270915232,1.031.250.000.000.000,-0.108532000000000,0.310989,244.005.597.000.000.000,17.133.430.000.000.000,1,B,B,H,E,B,A,A,B,B,A,A,B,A,B,C,D,A,A,G,?,A,B,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847687,1,1,13,6,1,BDABBCBBBBCBA,BCBACDBCCCCDC,AACCBCBACBCCC,ADABCBADCCCAB,1,1,270915232,1.031.250.000.000.000,0.416013000000000,0.329939,272.904.545.000.000.000,18.177.449.000.000.000,1,B,B,J,C,B,A,C,B,B,A,A,A,B,C,D,D,A,A,D,A,A,A,G,A,A,A,A,A,B,A,B,C,B,B,B,B,B,A,B,B,C,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847688,1,1,7,7,1,CBDCABDBBBADB,BCBACDDBBACAB,BBBABBBACBDCC,ADBBCBCDCCCCD,1,1,270915232,1.031.250.000.000.000,0.155406000000000,0.356755,258.546.829.000.000.000,19.654.833.000.000.000,1,B,B,L,D,B,B,B,B,A,A,A,A,A,B,C,F,A,A,A,B,B,A,B,B,B,B,A,A,A,A,A,A,A,B,B,A,B,B,B,B,B,A,B,A,A,B,A,B,A,A,A,A,A,A,A,B,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847689,1,0,16,2,5,.............,.............,.............,.............,0,1,270915232,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847690,1,1,5,5,6,CABACDCACCCCA,BDCBBCBBBAACA,ADADACBDCBBAA,BAACBAAADABBA,1,1,270915232,1.031.250.000.000.000,0.761870000000000,0.341985,291.958.970.000.000.000,18.841.104.000.000.000,1,A,B,A,B,C,B,B,B,A,A,B,A,A,C,D,C,A,A,D,A,A,B,E,A,A,A,A,A,A,A,A,B,A,B,A,B,A,A,B,B,B,A,B,E,A,B,A,A,A,A,A,A,A,A,A,B,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847691,1,1,6,6,7,BCCBBCBBBCADA,ABDDAADDABADA,AADCBCAACBCBB,CCBADBCDBDDCC,1,1,270915232,1.031.250.000.000.000,0.703330000000000,0.34491,288.733.805.000.000.000,19.002.252.000.000.000,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847692,1,1,12,5,7,CAAACDCACCDAA,ABDDAADDABADA,CAADACBDCCADA,CCBADBCDBDDCC,1,1,270915232,1.031.250.000.000.000,0.631610000000000,0.314075,284.782.509.000.000.000,17.303.448.000.000.000,1,B,A,B,B,D,B,C,B,C,B,B,A,B,B,D,E,A,A,F,A,A,A,D,A,A,B,A,A,A,A,A,B,B,B,B,B,B,A,C,C,C,A,D,C,B,B,A,A,A,A,A,A,A,A,A,C,A,5.8,'ACIMA DA MEDIA'
